temp1,temp2,temp3,temp4,temp5,temp6,temp7,temp8,temp9,temp10,temp11,temp12,temp13,temp14,temp15,temp40,temp41,temp42,temp43,temp44,temp45,temp46,temp47,temp48,temp49,temp50,temp51,temp52,temp53,Year,iceout,wind1,wind2,wind3,wind4,wind5,wind6,wind7,wind8,wind9,wind10,wind11,wind12,wind13,wind14,wind15,wind40,wind41,wind42,wind43,wind44,wind45,wind46,wind47,wind48,wind49,wind50,wind51,wind52,wind53
5,-20,-8,-12,-17,-3,14,-2,-4,10,11,20,38,27,20,,41,22,22,22,19,14,8,7,2,0,0,13,,1998,110.7041667,0,4,10,2,1,1,7,3,1,4,5,5,10,7,12,,,4,3,,,,,,,,,,
-8,-11,0,-8,-32,-42,-30,6,-6,-13,2,24,18,4,,,30,28,30,24,21,20,2,6,4,0,-16,8,0,1999,119.9076389,7,5,4,6,8,7,4,9,2,1,4,4,7,4.5,,,2,7,4,5,8,10,2,5,6,5,0,7,3
-47,-24,-22,22,10,14,4,4,12,17,12,19,16,23,,34,30,16,10,5,-3,2,6,-12,-14,-14,-11,4,,2000,122.4493056,6.5,4,4,10,4,7,1,2,2,4,6,6,6,5,,6.5,2,4,3,3,3,7,3,0,1,2,4,5,
2,0,14,27,20,5,13,2,8,18,10,8,2,12,,25,28,23,18,18,10,26,22,-4,-1,14,5,16,,2001,128.5416667,5,3,11,11,5,5,8,3,4,9,5,4,7,5,,3.5,5,4,4,6,6,9,10,0,3,6,12,12,
14,4,17,21,-18,0,-1,8,8,16,12,12,22,8.5,,32,40,22,22,2,8,-6,2,1,-7,-24,-18,-13,,2002,127.89375,4,2,8,5,2,3,1,4,11.5,5,12,11,4,5.5,,2,6,6,5,2,2,1,2,1,6,1,2,4,
-6,-13,3,8,8,4,34,-2,0,16,8,-4,14,29,,,36,31,22,40,34,14,14,19,29,22,3,8,,2003,119.7652778,1,5,4,5,13,3,5,0,5,3,5,4,3.5,,,,4,7,4,12,7,5,2,8,5,7,2,12,
-14,-4,-6,-24,-2,-5,4,8,-5,6,-7,15,10,0,-9,,49,33,25,23,32,31,2,12,0,-10,10,-8,,2004,115.5944444,3,3,5,4,8,8,6,6,2,3,5,5,4,4,4.5,,6.5,3,4,3,5,6,4,9,8,3,5,1,
4,24,-22,2,-4,-22,10,14,4,4,22,22,20,14,,,36.5,35,30,28,18,5,12,18,9,2,-6,2,0,2005,118.5006944,12,6,5,15,1,1,10,4,2,5,5,14,5,6,,,11.5,3,6,6,4,7,6,7,4,4,2,3,8
7,-16,-20,-26,-42,-20,22,28,3,6,5,2,18,5.5,,35,34,26,30,16,-8,-6,-6,-14,-10,16,12,-2,,2006,122.7284722,2,0,0,2,1,11,9,9,5,5,7,9,5,4.5,,2,4,2,6,2,1,4,2,1,0,8,2,0,
-6,-16,4,4,11,19,12,-2,-23,-22,-11,-6,0,4,,39,42,32,30,18,5,-8,-16,-11,6,18,0,-9,,2007,117.6576389,2,2,4,4,10,6,12,4,1,1,4,3,4,2,,10.5,8,4,4,7,3,2,2,8,12,8,3,4,
2,-2,-16,18,-10,-16,-28,4,20,-2,26,12,3,12,,36,26,24,18,16,24,10,8,21,8,13,6,-8,,2008,127.9534722,5,0,3,5,9,1,1,6,7,5,4,6,6,2,,3,3,4,2,1,5,2,3,9,5,11,2,1,
-3,-40,-24,24,6,-22,-9,15,10,7,6,0,-8,16,17,,25,26,8,6,4,0,9,-14,4,5,0,4,,2009,121.8618056,5,4,7,8,10,2,2,11,6,6,10,7,4,5,4,,3,5,1,4,1.5,1,5,2,5,5,4,8,
-17,-8,-22,-6,-5,-8,18,26,-4,14,-2,10,16,25,,,36,42,30,26,14,1,1,-20,2,20,-9,-10,9,2010,119.3791667,2,4,1,0,1,1,11,11,3,7,3,3,3,4.5,,,6,12,1,3,2,3,5,2,2,8,0,6,6
4,13,-4,-25,10,5,-7,-2,-3,7,10,6,18,24,,43,32,24,26,20,12,14,17,18,-16,-18,-20,-25,,2011,124.6833333,6,5,6,4,12,3,3,9,10,9,10,4,3,5,,6.5,2,4,3,5,2,3,5,5,1,1,5,0,
-28,-22,-28,-14,-28,4,26,18,6,-5,2,-4,0,14,,37,35,30,22,13,12,10,-22,-16,16,19,6,-2,,2012,114.81875,2,4,6,1,3,5,10,7,3,4,2,3,3,3,,1,2,3,3,3,7,5,4,1,7,7,2,3,
20,21,24,23,4,21,20,15,11,16,23,20,19,22,,36,48,38,30,24,20,16,10,12,6,6,8,5,,2013,140.6118056,9,7,7,5,3,6,3,2,2,4,3,4,4,3,,3,4,4,3,2,3,4,3,2,1,3,4,8,
3,22,5,24,36,20,15,8,10,21,14,24,28,36,,,42,44,46,38,36,30,24,22,16,26,20,19,,2014,115.6583333,2,5,1,6,8,2,3,3,5,3,4,7,6,3,,,3,8,7,7,4,6,4,7,2,5,7,9,
24,26,31,28,18,4,6,24,36,32,33,16,38,38,38,,43,40,40,34,30,36,30,26,19,25,29,18,,2015,114.6006944,7,4,9,6,5,2,2,3,5,5,4,3,4,4,4,,5,4,2,5,5,10,8,7,3,2,6,2,
30,28,24,21,31,22,22,26,36,28,26,24,36,42,,,46,44,44,40,38,38,18,24,31,16,13,18,16,2016,114.6520833,12,10,3,3,9,3,2,10,10,5,4,3,3,5,,,6,5,4,4,5,6,4,7,4,2,2,4,9
